dataX,dataY
-0.28130174,-0.44229475
-0.28130174,-0.4451508
-0.28130174,-0.4480068
-0.28130174,-0.45086282
-0.28130174,-0.45371887
-0.27844572,-0.4565749
-0.27844572,-0.45943093
-0.27844572,-0.46228695
-0.2755897,-0.465143
-0.2755897,-0.467999
-0.27273366,-0.47085503
-0.27273366,-0.47371107
-0.27273366,-0.4765671
-0.27273366,-0.47942314
-0.26987764,-0.48227915
-0.2670216,-0.4851352
-0.2670216,-0.4879912
-0.2670216,-0.49084726
-0.26416558,-0.49370328
-0.26416558,-0.4965593
-0.26416558,-0.49370328
-0.2670216,-0.49084726
-0.2670216,-0.4879912
-0.2670216,-0.4851352
-0.26987764,-0.48227915
-0.27273366,-0.47942314
-0.27273366,-0.4765671
-0.27273366,-0.47371107
-0.27273366,-0.47085503
-0.2755897,-0.467999
-0.2755897,-0.465143
-0.27844572,-0.46228695
-0.27844572,-0.45943093
-0.27844572,-0.4565749
-0.28130174,-0.45371887
-0.28130174,-0.45086282
-0.28130174,-0.4480068
-0.28130174,-0.4451508
-0.28130174,-0.44229475
