dataX,dataY
-1.63,1.71
-1.62,1.88
-1.7,1.96
-1.89,1.98
-1.99,1.94
-2.1,1.81
-2.21,1.62
-2.21,1.48
-2.21,1.24
-2.18,1.12
-2.1,1.07
-2.01,1.05
-1.92,1.07
-1.84,1.12
-1.78,1.23
-1.76,1.26
-1.46,1.24
-1.38,1.39
-1.35,1.56
-1.31,1.67
-1.31,1.76
-1.33,1.92
-1.38,2.02
-1.46,2.08
-1.57,2.21
-1.65,2.24
-1.86,2.24
-2.0,2.22
-2.09,2.17
-2.21,2.07
-2.3,1.95
-2.34,1.91
-2.71,1.95
